/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 2.0524885654449463
iter is 20, overall loss is 1.8737740516662598
iter is 30, overall loss is 1.8280928134918213
iter is 40, overall loss is 1.8055616617202759
iter is 50, overall loss is 1.7462557554244995
iter is 60, overall loss is 1.8126150369644165
iter is 70, overall loss is 1.6614904403686523
iter is 80, overall loss is 1.8338689804077148
iter is 90, overall loss is 1.917342185974121
iter is 100, overall loss is 1.506088376045227
iter is 110, overall loss is 1.7174320220947266
iter is 120, overall loss is 1.8252358436584473
iter is 130, overall loss is 1.5926222801208496
iter is 140, overall loss is 1.8585766553878784
iter is 150, overall loss is 1.8254339694976807
iter is 160, overall loss is 1.579315423965454
iter is 170, overall loss is 1.7524094581604004
iter is 180, overall loss is 1.6856240034103394
iter is 190, overall loss is 1.7330570220947266
iter is 200, overall loss is 1.5714733600616455
iter is 210, overall loss is 1.483611822128296
iter is 220, overall loss is 1.4489325284957886
iter is 230, overall loss is 1.5979028940200806
iter is 240, overall loss is 1.5050902366638184
iter is 250, overall loss is 1.7240444421768188
iter is 260, overall loss is 1.766484260559082
iter is 270, overall loss is 1.5117250680923462
iter is 280, overall loss is 1.5350621938705444
iter is 290, overall loss is 1.4156852960586548
iter is 300, overall loss is 1.4264365434646606
iter is 310, overall loss is 1.6586005687713623
iter is 320, overall loss is 1.8648614883422852
iter is 330, overall loss is 1.5027343034744263
iter is 340, overall loss is 1.4581828117370605
iter is 350, overall loss is 1.487641453742981
iter is 360, overall loss is 1.3408576250076294
iter is 370, overall loss is 1.7075222730636597
iter is 380, overall loss is 1.7396024465560913
iter is 390, overall loss is 1.936246395111084
iter is 400, overall loss is 1.3393534421920776
iter is 410, overall loss is 1.4184716939926147
iter is 420, overall loss is 1.4160863161087036
iter is 430, overall loss is 1.6774225234985352
iter is 440, overall loss is 1.412038803100586
iter is 450, overall loss is 1.2688744068145752
iter is 460, overall loss is 1.5621864795684814
iter is 470, overall loss is 1.708608627319336
iter is 480, overall loss is 1.7961958646774292
iter is 490, overall loss is 1.2218410968780518
