/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 5.688155651092529
iter is 20, overall loss is 4.899149417877197
iter is 30, overall loss is 6.556466579437256
iter is 40, overall loss is 5.063532829284668
iter is 50, overall loss is 4.617739677429199
iter is 60, overall loss is 4.9693989753723145
iter is 70, overall loss is 4.342953205108643
iter is 80, overall loss is 5.401230335235596
iter is 90, overall loss is 4.02103853225708
iter is 100, overall loss is 5.368452072143555
iter is 110, overall loss is 4.570305347442627
iter is 120, overall loss is 4.284127235412598
iter is 130, overall loss is 5.62468957901001
iter is 140, overall loss is 5.2672319412231445
iter is 150, overall loss is 4.399035453796387
iter is 160, overall loss is 5.684929847717285
iter is 170, overall loss is 4.999320983886719
iter is 180, overall loss is 5.151780128479004
iter is 190, overall loss is 4.0694427490234375
iter is 200, overall loss is 5.571381568908691
iter is 210, overall loss is 4.740140914916992
iter is 220, overall loss is 5.639825820922852
iter is 230, overall loss is 4.866758346557617
iter is 240, overall loss is 4.502718925476074
iter is 250, overall loss is 5.258519172668457
iter is 260, overall loss is 4.9004058837890625
iter is 270, overall loss is 4.272970676422119
iter is 280, overall loss is 4.636739253997803
iter is 290, overall loss is 7.155901908874512
iter is 300, overall loss is 6.235538482666016
iter is 310, overall loss is 5.237952709197998
iter is 320, overall loss is 5.2596940994262695
iter is 330, overall loss is 4.773900032043457
iter is 340, overall loss is 6.052132606506348
iter is 350, overall loss is 4.321642875671387
iter is 360, overall loss is 4.201844692230225
iter is 370, overall loss is 4.710849761962891
iter is 380, overall loss is 5.8883466720581055
iter is 390, overall loss is 4.500769138336182
iter is 400, overall loss is 5.0157976150512695
iter is 410, overall loss is 4.406864643096924
iter is 420, overall loss is 5.789639949798584
iter is 430, overall loss is 4.804194927215576
iter is 440, overall loss is 4.744836330413818
iter is 450, overall loss is 4.961177825927734
iter is 460, overall loss is 6.201013088226318
iter is 470, overall loss is 5.605195045471191
iter is 480, overall loss is 5.757242679595947
iter is 490, overall loss is 4.367500305175781
iter is 500, overall loss is 4.623992443084717
---------starting evaluation-----------
Racall rate is 0.42718750030835034, Precision rate is 0.7763563279331024, OA is 0.8358939132690429, F1 score is 0.5511219638139792, IoU is 0.380378437694269, Kappa coefficient is 0.46086526223516655
iter is 510, overall loss is 4.949587821960449
iter is 520, overall loss is 6.044936656951904
iter is 530, overall loss is 6.052987098693848
iter is 540, overall loss is 3.8951544761657715
iter is 550, overall loss is 5.766185760498047
iter is 560, overall loss is 4.595512390136719
