/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
False
iter is 10, change detection loss is 1.051337718963623, classification loss is 2.102933406829834
iter is 20, change detection loss is 1.0913383960723877, classification loss is 1.6424797773361206
iter is 30, change detection loss is 0.9615073800086975, classification loss is 2.0622305870056152
iter is 40, change detection loss is 0.9296922087669373, classification loss is 1.610835075378418
iter is 50, change detection loss is 0.9686679840087891, classification loss is 1.9880229234695435
iter is 60, change detection loss is 0.9809635281562805, classification loss is 1.5611119270324707
iter is 70, change detection loss is 0.7015540599822998, classification loss is 1.4587876796722412
iter is 80, change detection loss is 0.9574097394943237, classification loss is 1.89271879196167
iter is 90, change detection loss is 0.7899856567382812, classification loss is 1.5426586866378784
iter is 100, change detection loss is 0.987837016582489, classification loss is 1.4352623224258423
iter is 110, change detection loss is 0.9558634757995605, classification loss is 1.5708906650543213
iter is 120, change detection loss is 0.8567025661468506, classification loss is 1.4663640260696411
iter is 130, change detection loss is 0.947189450263977, classification loss is 1.7135484218597412
iter is 140, change detection loss is 1.0256109237670898, classification loss is 1.7632460594177246
iter is 150, change detection loss is 1.0770466327667236, classification loss is 1.6288745403289795
iter is 160, change detection loss is 0.793877363204956, classification loss is 1.6833853721618652
iter is 170, change detection loss is 1.0730400085449219, classification loss is 1.7871809005737305
iter is 180, change detection loss is 0.9971126317977905, classification loss is 1.428389310836792
iter is 190, change detection loss is 0.802844762802124, classification loss is 1.437817096710205
iter is 200, change detection loss is 0.859477698802948, classification loss is 1.5428959131240845
iter is 210, change detection loss is 0.9441481828689575, classification loss is 1.7709755897521973
iter is 220, change detection loss is 0.9380698800086975, classification loss is 1.5601650476455688
iter is 230, change detection loss is 1.0811049938201904, classification loss is 2.3086040019989014
iter is 240, change detection loss is 1.1024696826934814, classification loss is 1.929141879081726
iter is 250, change detection loss is 0.7371712923049927, classification loss is 1.419937014579773
iter is 260, change detection loss is 0.8338725566864014, classification loss is 1.5833970308303833
iter is 270, change detection loss is 1.1128854751586914, classification loss is 1.4028655290603638
iter is 280, change detection loss is 0.8270270824432373, classification loss is 1.381266713142395
iter is 290, change detection loss is 0.8066425323486328, classification loss is 1.366647481918335
iter is 300, change detection loss is 0.9839128255844116, classification loss is 1.428421974182129
iter is 310, change detection loss is nan, classification loss is nan
iter is 320, change detection loss is nan, classification loss is nan
iter is 330, change detection loss is nan, classification loss is nan
iter is 340, change detection loss is nan, classification loss is nan
iter is 350, change detection loss is nan, classification loss is nan
iter is 360, change detection loss is nan, classification loss is nan
iter is 370, change detection loss is nan, classification loss is nan
iter is 380, change detection loss is nan, classification loss is nan
iter is 390, change detection loss is nan, classification loss is nan
iter is 400, change detection loss is nan, classification loss is nan
iter is 410, change detection loss is nan, classification loss is nan
iter is 420, change detection loss is nan, classification loss is nan
iter is 430, change detection loss is nan, classification loss is nan
iter is 440, change detection loss is nan, classification loss is nan
iter is 450, change detection loss is nan, classification loss is nan
iter is 460, change detection loss is nan, classification loss is nan
iter is 470, change detection loss is nan, classification loss is nan
iter is 480, change detection loss is nan, classification loss is nan
iter is 490, change detection loss is nan, classification loss is nan
iter is 500, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 510, change detection loss is nan, classification loss is nan
iter is 520, change detection loss is nan, classification loss is nan
iter is 530, change detection loss is nan, classification loss is nan
iter is 540, change detection loss is nan, classification loss is nan
iter is 550, change detection loss is nan, classification loss is nan
iter is 560, change detection loss is nan, classification loss is nan
iter is 570, change detection loss is nan, classification loss is nan
iter is 580, change detection loss is nan, classification loss is nan
iter is 590, change detection loss is nan, classification loss is nan
iter is 600, change detection loss is nan, classification loss is nan
iter is 610, change detection loss is nan, classification loss is nan
iter is 620, change detection loss is nan, classification loss is nan
iter is 630, change detection loss is nan, classification loss is nan
iter is 640, change detection loss is nan, classification loss is nan
iter is 650, change detection loss is nan, classification loss is nan
iter is 660, change detection loss is nan, classification loss is nan
iter is 670, change detection loss is nan, classification loss is nan
iter is 680, change detection loss is nan, classification loss is nan
