/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 0.9156145453453064
iter is 20, overall loss is 0.7439151406288147
iter is 30, overall loss is 0.7838122844696045
iter is 40, overall loss is 0.7075842618942261
iter is 50, overall loss is 0.6246833801269531
iter is 60, overall loss is 0.6707004904747009
iter is 70, overall loss is 0.7889890670776367
iter is 80, overall loss is 0.6450793743133545
iter is 90, overall loss is 0.642410159111023
iter is 100, overall loss is 0.6434177160263062
iter is 110, overall loss is 0.6130071878433228
iter is 120, overall loss is 0.6417524218559265
iter is 130, overall loss is 0.5511310696601868
iter is 140, overall loss is 0.5769360065460205
iter is 150, overall loss is 0.5242395401000977
iter is 160, overall loss is 0.6086693406105042
iter is 170, overall loss is 0.6009431481361389
iter is 180, overall loss is 0.5872551798820496
iter is 190, overall loss is 0.6125541925430298
iter is 200, overall loss is 0.6015328764915466
iter is 210, overall loss is 0.5693653225898743
iter is 220, overall loss is 0.4848557114601135
iter is 230, overall loss is 0.6618070602416992
iter is 240, overall loss is 0.732358992099762
iter is 250, overall loss is 0.61665940284729
iter is 260, overall loss is 0.5744239687919617
iter is 270, overall loss is 0.5762712955474854
iter is 280, overall loss is 0.530237078666687
iter is 290, overall loss is 0.6479674577713013
iter is 300, overall loss is 0.4665985703468323
iter is 310, overall loss is 0.5153025984764099
iter is 320, overall loss is 0.5836631059646606
iter is 330, overall loss is 0.5406733155250549
iter is 340, overall loss is 0.46968376636505127
iter is 350, overall loss is 0.5259224772453308
iter is 360, overall loss is 0.4660748839378357
iter is 370, overall loss is 0.4227995276451111
iter is 380, overall loss is 0.6280540227890015
iter is 390, overall loss is 0.5005882978439331
iter is 400, overall loss is 0.4995536804199219
iter is 410, overall loss is 0.5050708055496216
iter is 420, overall loss is 0.47650495171546936
iter is 430, overall loss is 0.7233539819717407
iter is 440, overall loss is 0.5178780555725098
iter is 450, overall loss is 0.43386590480804443
iter is 460, overall loss is 0.5066144466400146
iter is 470, overall loss is 0.623293936252594
iter is 480, overall loss is 0.3911437392234802
iter is 490, overall loss is 0.43796706199645996
