/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 1.389549970626831
iter is 20, overall loss is 0.851593554019928
iter is 30, overall loss is 1.2271145582199097
iter is 40, overall loss is 0.798136293888092
iter is 50, overall loss is 0.8810468316078186
iter is 60, overall loss is 0.8310514688491821
iter is 70, overall loss is 1.153014898300171
iter is 80, overall loss is 1.1703641414642334
iter is 90, overall loss is 0.8232889771461487
iter is 100, overall loss is 0.9869265556335449
iter is 110, overall loss is 0.634843111038208
iter is 120, overall loss is 1.1578960418701172
iter is 130, overall loss is 1.10612154006958
iter is 140, overall loss is 0.8638899922370911
iter is 150, overall loss is 0.947149395942688
iter is 160, overall loss is 0.8110700845718384
iter is 170, overall loss is 0.8644403219223022
iter is 180, overall loss is 1.0899345874786377
iter is 190, overall loss is 1.0606385469436646
iter is 200, overall loss is 1.0207308530807495
iter is 210, overall loss is 1.0508053302764893
iter is 220, overall loss is 0.8491489887237549
iter is 230, overall loss is 0.7123445272445679
iter is 240, overall loss is 0.6840457320213318
iter is 250, overall loss is 0.8752541542053223
iter is 260, overall loss is 0.8578838109970093
iter is 270, overall loss is 1.007303237915039
iter is 280, overall loss is 0.7398223876953125
iter is 290, overall loss is 0.7706514596939087
iter is 300, overall loss is 1.2124176025390625
iter is 310, overall loss is 0.8082942962646484
iter is 320, overall loss is 0.7686470746994019
iter is 330, overall loss is 0.5498023629188538
iter is 340, overall loss is 0.8667779564857483
iter is 350, overall loss is 0.961169958114624
iter is 360, overall loss is 0.5473117232322693
iter is 370, overall loss is 0.6589391231536865
iter is 380, overall loss is 0.6212160587310791
iter is 390, overall loss is 1.1119401454925537
iter is 400, overall loss is 1.2086738348007202
iter is 410, overall loss is 0.7868743538856506
iter is 420, overall loss is 0.8877705335617065
iter is 430, overall loss is 0.8506802320480347
iter is 440, overall loss is 0.6687288880348206
iter is 450, overall loss is 0.9174681901931763
iter is 460, overall loss is 0.8251242637634277
iter is 470, overall loss is 0.8818382024765015
iter is 480, overall loss is 0.6232830286026001
iter is 490, overall loss is 1.0012038946151733
iter is 500, overall loss is 0.6911252737045288
---------starting evaluation-----------
Racall rate is 0.524215274904447, Precision rate is 0.7403919896992259, OA is 0.844449348449707, F1 score is 0.6138266025837962, IoU is 0.44282093692459784, Kappa coefficient is 0.5199745489719728
iter is 510, overall loss is 0.7987216711044312
iter is 520, overall loss is 0.6612715721130371
iter is 530, overall loss is 1.17862069606781
iter is 540, overall loss is 1.1153578758239746
iter is 550, overall loss is 0.856516420841217
iter is 560, overall loss is 0.537977933883667
iter is 570, overall loss is 0.9394088983535767
iter is 580, overall loss is 0.5306740999221802
iter is 590, overall loss is 0.5909646153450012
iter is 600, overall loss is 0.5750295519828796
iter is 610, overall loss is 0.6328163146972656
