/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 2.5157337188720703
iter is 20, overall loss is 2.7841222286224365
iter is 30, overall loss is 2.3103301525115967
iter is 40, overall loss is 3.0238633155822754
iter is 50, overall loss is 2.849830389022827
iter is 60, overall loss is 1.7783669233322144
iter is 70, overall loss is 2.4617385864257812
iter is 80, overall loss is 2.527282476425171
iter is 90, overall loss is 2.373798131942749
iter is 100, overall loss is 2.609234571456909
iter is 110, overall loss is 3.1634349822998047
iter is 120, overall loss is 2.9126064777374268
iter is 130, overall loss is 2.706376552581787
iter is 140, overall loss is 2.7543771266937256
iter is 150, overall loss is 2.173794746398926
iter is 160, overall loss is 2.3138139247894287
iter is 170, overall loss is 2.1503846645355225
iter is 180, overall loss is 2.4160382747650146
iter is 190, overall loss is 2.522188186645508
iter is 200, overall loss is 2.5426862239837646
iter is 210, overall loss is 2.273674488067627
iter is 220, overall loss is 2.5418052673339844
iter is 230, overall loss is 2.452171564102173
iter is 240, overall loss is 2.6655993461608887
iter is 250, overall loss is 2.466313123703003
iter is 260, overall loss is 1.8265023231506348
iter is 270, overall loss is 3.1099395751953125
iter is 280, overall loss is 2.357063055038452
iter is 290, overall loss is 2.564269781112671
iter is 300, overall loss is 1.9720338582992554
iter is 310, overall loss is 2.8656935691833496
iter is 320, overall loss is 2.0652177333831787
iter is 330, overall loss is 1.7701644897460938
iter is 340, overall loss is 1.8755937814712524
iter is 350, overall loss is 2.744948625564575
iter is 360, overall loss is 2.0310935974121094
iter is 370, overall loss is 2.454160451889038
iter is 380, overall loss is 2.242248773574829
iter is 390, overall loss is 2.214447259902954
iter is 400, overall loss is 2.3509361743927
iter is 410, overall loss is 2.269037961959839
iter is 420, overall loss is 2.452953815460205
iter is 430, overall loss is 2.4601473808288574
iter is 440, overall loss is 3.258509397506714
iter is 450, overall loss is 2.9359591007232666
iter is 460, overall loss is 2.1026346683502197
iter is 470, overall loss is 2.2771549224853516
iter is 480, overall loss is 1.7255525588989258
iter is 490, overall loss is 2.302281141281128
iter is 500, overall loss is 1.5068459510803223
---------starting evaluation-----------
Recall rate is 0.5886920279749328, Precision rate is 0.7473280699966068, OA is 0.8560635108947754, F1 score is 0.6585920043521184, IoU is 0.4909706863898837, Kappa coefficient is 0.5690237740436437
iter is 510, overall loss is 2.3406214714050293
iter is 520, overall loss is 1.855465292930603
iter is 530, overall loss is 1.9321357011795044
iter is 540, overall loss is 2.1399645805358887
iter is 550, overall loss is 2.0848464965820312
iter is 560, overall loss is 2.93099045753479
iter is 570, overall loss is 1.812226414680481
iter is 580, overall loss is 2.0582222938537598
iter is 590, overall loss is 2.047205924987793
iter is 600, overall loss is 2.024970769882202
iter is 610, overall loss is 2.3894736766815186
iter is 620, overall loss is 2.151339530944824
iter is 630, overall loss is 1.7680171728134155
iter is 640, overall loss is 2.1960489749908447
iter is 650, overall loss is 2.0321297645568848
iter is 660, overall loss is 2.2604856491088867
iter is 670, overall loss is 1.7486616373062134
iter is 680, overall loss is 2.2511801719665527
iter is 690, overall loss is 2.010728359222412
iter is 700, overall loss is 1.9584510326385498
iter is 710, overall loss is 2.4496779441833496
iter is 720, overall loss is 2.216675281524658
iter is 730, overall loss is 2.2917070388793945
iter is 740, overall loss is 2.1450088024139404
iter is 750, overall loss is 2.2174856662750244
iter is 760, overall loss is 2.3087053298950195
iter is 770, overall loss is 2.3512747287750244
iter is 780, overall loss is 1.9506001472473145
iter is 790, overall loss is 1.9766367673873901
iter is 800, overall loss is 2.190635919570923
iter is 810, overall loss is 3.3452343940734863
iter is 820, overall loss is 2.2771518230438232
iter is 830, overall loss is 2.4266905784606934
iter is 840, overall loss is 2.171205997467041
iter is 850, overall loss is 2.0417416095733643
iter is 860, overall loss is 2.1303696632385254
iter is 870, overall loss is 2.133096218109131
iter is 880, overall loss is 2.4138076305389404
iter is 890, overall loss is 1.9450244903564453
iter is 900, overall loss is 2.6286706924438477
iter is 910, overall loss is 1.838484287261963
iter is 920, overall loss is 2.3396010398864746
iter is 930, overall loss is 2.0983052253723145
iter is 940, overall loss is 1.8490403890609741
iter is 950, overall loss is 2.186569929122925
iter is 960, overall loss is 2.310147285461426
iter is 970, overall loss is 2.8446662425994873
iter is 980, overall loss is 1.962221384048462
iter is 990, overall loss is 2.137498617172241
iter is 1000, overall loss is 2.0911262035369873
---------starting evaluation-----------
Recall rate is 0.6778343323506508, Precision rate is 0.7193197814132909, OA is 0.8616495285034179, F1 score is 0.6979611468449268, IoU is 0.5360524727458341, Kappa coefficient is 0.6083390668460426
iter is 1010, overall loss is 2.348613739013672
iter is 1020, overall loss is 2.1025898456573486
iter is 1030, overall loss is 2.3495161533355713
iter is 1040, overall loss is 1.80278742313385
iter is 1050, overall loss is 1.770037055015564
iter is 1060, overall loss is 2.1035714149475098
iter is 1070, overall loss is 2.752687931060791
iter is 1080, overall loss is 2.1795496940612793
iter is 1090, overall loss is 1.6643445491790771
iter is 1100, overall loss is 2.3166654109954834
iter is 1110, overall loss is 2.150108814239502
iter is 1120, overall loss is 2.217712879180908
iter is 1130, overall loss is 2.0954842567443848
iter is 1140, overall loss is 2.254301071166992
iter is 1150, overall loss is 2.498002767562866
iter is 1160, overall loss is 1.9203219413757324
iter is 1170, overall loss is 2.754209041595459
iter is 1180, overall loss is 1.9648226499557495
iter is 1190, overall loss is 2.3767268657684326
iter is 1200, overall loss is 2.103165626525879
iter is 1210, overall loss is 2.6982085704803467
iter is 1220, overall loss is 2.1936497688293457
iter is 1230, overall loss is 1.8485324382781982
iter is 1240, overall loss is 1.8730591535568237
