/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 10, overall loss is 2.067859649658203
iter is 20, overall loss is 1.6259146928787231
iter is 30, overall loss is 1.9851405620574951
iter is 40, overall loss is 1.8933489322662354
iter is 50, overall loss is 2.127723217010498
iter is 60, overall loss is 1.8638083934783936
iter is 70, overall loss is 1.4533036947250366
iter is 80, overall loss is 1.4054834842681885
iter is 90, overall loss is 1.6564388275146484
iter is 100, overall loss is 1.5693256855010986
iter is 110, overall loss is 1.6094235181808472
iter is 120, overall loss is 1.3496116399765015
iter is 130, overall loss is 1.7801223993301392
iter is 140, overall loss is 1.8506953716278076
iter is 150, overall loss is 1.2471274137496948
iter is 160, overall loss is 1.6782492399215698
iter is 170, overall loss is 1.3178775310516357
iter is 180, overall loss is 2.104081630706787
iter is 190, overall loss is 1.5312750339508057
iter is 200, overall loss is 1.4967553615570068
iter is 210, overall loss is 1.3784477710723877
iter is 220, overall loss is 1.7300420999526978
iter is 230, overall loss is 1.5948445796966553
iter is 240, overall loss is 2.0683200359344482
iter is 250, overall loss is 1.7587023973464966
iter is 260, overall loss is 1.674107551574707
iter is 270, overall loss is 1.994094967842102
iter is 280, overall loss is 1.9560482501983643
iter is 290, overall loss is 1.5755462646484375
iter is 300, overall loss is 1.804602861404419
iter is 310, overall loss is 1.5687923431396484
iter is 320, overall loss is 1.8699119091033936
iter is 330, overall loss is 1.5105174779891968
iter is 340, overall loss is 1.5816928148269653
iter is 350, overall loss is 1.6922727823257446
iter is 360, overall loss is 1.6291157007217407
iter is 370, overall loss is 1.5053244829177856
iter is 380, overall loss is 1.4851863384246826
iter is 390, overall loss is 1.378115177154541
iter is 400, overall loss is 1.9722387790679932
iter is 410, overall loss is 1.9657882452011108
iter is 420, overall loss is 1.8759372234344482
iter is 430, overall loss is 1.8134783506393433
iter is 440, overall loss is 2.515322208404541
iter is 450, overall loss is 1.648830771446228
iter is 460, overall loss is 1.528716802597046
iter is 470, overall loss is 1.8719943761825562
iter is 480, overall loss is 1.4086183309555054
iter is 490, overall loss is 1.7740087509155273
iter is 500, overall loss is 1.5906387567520142
---------starting evaluation-----------
Racall rate is 0.6070828745552254, Precision rate is 0.7526022691917698, OA is 0.8602767486572266, F1 score is 0.6720555138502592, IoU is 0.5060870547373749, Kappa coefficient is 0.5845708026578691
iter is 510, overall loss is 1.5090826749801636
iter is 520, overall loss is 1.6325047016143799
iter is 530, overall loss is 1.4678382873535156
iter is 540, overall loss is 1.7556679248809814
iter is 550, overall loss is 1.626827359199524
iter is 560, overall loss is 1.9500389099121094
iter is 570, overall loss is 1.81990647315979
iter is 580, overall loss is 1.457556962966919
iter is 590, overall loss is 1.5291990041732788
iter is 600, overall loss is 1.8332479000091553
iter is 610, overall loss is 1.2841671705245972
iter is 620, overall loss is 1.3987150192260742
iter is 630, overall loss is 1.5574188232421875
iter is 640, overall loss is 1.4825769662857056
iter is 650, overall loss is 1.4544284343719482
iter is 660, overall loss is 1.5093467235565186
iter is 670, overall loss is 1.3422399759292603
iter is 680, overall loss is 1.178563117980957
iter is 690, overall loss is 1.5484325885772705
iter is 700, overall loss is 1.1820210218429565
iter is 710, overall loss is 1.6744039058685303
iter is 720, overall loss is 1.4841374158859253
iter is 730, overall loss is 1.6350724697113037
iter is 740, overall loss is 1.3427081108093262
iter is 750, overall loss is 1.7202959060668945
iter is 760, overall loss is 1.7115278244018555
iter is 770, overall loss is 1.3339905738830566
iter is 780, overall loss is 1.3703937530517578
iter is 790, overall loss is 1.5438923835754395
iter is 800, overall loss is 1.8192055225372314
iter is 810, overall loss is 1.1312693357467651
iter is 820, overall loss is 1.3245431184768677
iter is 830, overall loss is 1.844200611114502
iter is 840, overall loss is 1.3344285488128662
iter is 850, overall loss is 1.3100380897521973
iter is 860, overall loss is 1.4034943580627441
iter is 870, overall loss is 1.8442643880844116
iter is 880, overall loss is 1.6909223794937134
iter is 890, overall loss is 1.4134936332702637
iter is 900, overall loss is 1.7008726596832275
iter is 910, overall loss is 1.5828495025634766
iter is 920, overall loss is 1.3302385807037354
iter is 930, overall loss is 1.8137401342391968
iter is 940, overall loss is 1.4010741710662842
iter is 950, overall loss is 1.362181544303894
iter is 960, overall loss is 2.3704214096069336
iter is 970, overall loss is 1.0610533952713013
iter is 980, overall loss is 1.80499267578125
iter is 990, overall loss is 1.7753541469573975
iter is 1000, overall loss is 1.728987455368042
---------starting evaluation-----------
Racall rate is 0.719532257989638, Precision rate is 0.7008674108171087, OA is 0.8614353065490723, F1 score is 0.7100772011306317, IoU is 0.5504803866968025, Kappa coefficient is 0.6190604614864971
iter is 1010, overall loss is 1.7324851751327515
iter is 1020, overall loss is 1.3977644443511963
iter is 1030, overall loss is 1.191283106803894
iter is 1040, overall loss is 1.6873621940612793
iter is 1050, overall loss is 1.4587992429733276
iter is 1060, overall loss is 1.3872872591018677
iter is 1070, overall loss is 1.356513261795044
iter is 1080, overall loss is 1.4761390686035156
iter is 1090, overall loss is 1.2837547063827515
iter is 1100, overall loss is 1.5932354927062988
iter is 1110, overall loss is 1.5657765865325928
iter is 1120, overall loss is 1.724149227142334
iter is 1130, overall loss is 1.1952447891235352
iter is 1140, overall loss is 1.3404710292816162
iter is 1150, overall loss is 1.3625658750534058
iter is 1160, overall loss is 1.5250153541564941
iter is 1170, overall loss is 1.5542861223220825
iter is 1180, overall loss is 1.478232979774475
iter is 1190, overall loss is 1.6491070985794067
iter is 1200, overall loss is 1.3574917316436768
iter is 1210, overall loss is 1.57035231590271
iter is 1220, overall loss is 2.071636438369751
iter is 1230, overall loss is 1.343641757965088
iter is 1240, overall loss is 1.4602336883544922
iter is 1250, overall loss is 1.5152034759521484
iter is 1260, overall loss is 1.6181906461715698
iter is 1270, overall loss is 1.4161179065704346
iter is 1280, overall loss is 1.7020714282989502
iter is 1290, overall loss is 2.122678756713867
iter is 1300, overall loss is 1.5454164743423462
iter is 1310, overall loss is 1.2531026601791382
iter is 1320, overall loss is 1.5638184547424316
iter is 1330, overall loss is 1.59064781665802
iter is 1340, overall loss is 1.1755717992782593
iter is 1350, overall loss is 1.614169955253601
iter is 1360, overall loss is 1.2405176162719727
iter is 1370, overall loss is 1.4152498245239258
iter is 1380, overall loss is 1.2961926460266113
